,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,tsnepos1,tsnepos2,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
1812,0,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-16.43991,-18.424084,50,真理大學,音樂應用學系-演奏教學A組,079402,0.0,0.0,0.0,0.0,0.0,24,0.0,1,255,0,0.0,0.0,7
1858,12,0,0,0,0,10.0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-31.71505,-19.952818,50,真理大學,音樂應用學系-演奏教學B組,079412,0.0,0.0,0.0,0.0,0.0,24,0.0,1,50,480,0.6,0.0,5
1892,12,0,0,0,0,10.0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-31.714443,-19.952564,50,真理大學,音樂應用學系-行政管理組,079392,0.0,0.0,0.0,0.0,0.0,24,0.0,2,80,480,0.6,0.0,5
1719,12,0,0,0,0,3.0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-50.35672,-4.1592355,50,真理大學,法律學系,079182,0.0,0.0,0.0,0.0,0.0,24,0.0,2,135,680,0.4,0.2,5
1461,12,0,0,0,0,10.0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-31.71505,-19.952818,50,真理大學,統計資訊與精算學系一般組,079092,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,480,0.0,0.8,5
1466,12,0,0,0,0,7.999999999999999,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-33.040688,-20.098677,50,真理大學,統計資訊與精算學系金融商品開發精算組,079122,0.0,0.0,0.0,0.0,0.0,24,0.0,2,48,680,0.5,0.4,5
1771,0,0,0,12,0,29.999999999999996,29.999999999999996,29.999999999999996,3.0,29.999999999999996,-28.29883,45.53839,50,真理大學,經濟學系,079242,0.0,0.0,0.0,0.0,0.0,24,0.0,1,114,680,0.4,0.4,2
1780,12,0,0,0,0,6.0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-36.475597,-19.457146,50,真理大學,統計資訊與精算學系運動大數據分析組,079112,0.0,0.0,0.0,0.0,0.0,24,0.0,1,48,680,0.5,0.4,5
1857,12,0,0,0,0,7.999999999999999,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-32.945824,-19.658772,50,真理大學,統計資訊與精算學系資料處理與決策組,079102,0.0,0.0,0.0,0.0,0.0,24,0.0,1,48,680,0.5,0.4,5
1983,0,12,0,0,0,29.999999999999996,3.0,29.999999999999996,29.999999999999996,29.999999999999996,8.237452,29.582277,50,真理大學,英美語文學系,079062,0.0,0.0,0.0,0.0,0.0,24,0.0,1,114,480,0.7,0.0,3
1418,0,0,0,12,0,3.0,29.999999999999996,29.999999999999996,3.0,29.999999999999996,-31.98542,28.249445,50,真理大學,會計資訊學系,079192,0.0,0.0,0.0,0.0,0.0,24,0.0,2,114,680,0.5,0.2,2
1440,12,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,3.0,29.999999999999996,-32.14894,41.259285,50,真理大學,工業管理與經營資訊學系,079252,0.0,0.0,0.0,0.0,0.0,24,0.0,2,117,680,0.5,0.4,2
1554,12,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-12.800357,-7.5290613,50,真理大學,國際貿易學系(青年儲蓄帳戶組),079222,0.0,0.0,0.0,0.0,0.0,24,0.0,3,50,480,0.0,1.0,7
1576,12,0,0,0,0,3.0,29.999999999999996,3.0,3.0,29.999999999999996,-30.031403,31.057478,50,真理大學,財務金融學系,079202,0.0,0.0,0.0,0.0,0.0,24,0.0,2,114,680,0.5,0.2,2
1593,12,0,0,0,0,5.000000000000001,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-39.488174,-17.291714,50,真理大學,資訊管理學系電商行銷組,079292,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,680,0.7,0.2,5
1634,0,0,0,12,0,29.999999999999996,29.999999999999996,29.999999999999996,3.0,29.999999999999996,-29.468817,46.76177,50,真理大學,企業管理學系,079262,0.0,0.0,0.0,0.0,0.0,24,0.0,3,117,680,0.5,0.3,2
1637,12,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,5.000000000000001,29.999999999999996,-31.326582,39.48066,50,真理大學,觀光數位知識學系資訊應用組,079342,0.0,0.0,0.0,0.0,0.0,24,0.0,3,50,480,0.8,0.0,2
1641,12,0,0,0,0,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-13.417188,-6.897273,50,真理大學,國際貿易學系,079212,6.0,3.0,0.0,6.0,0.0,7,3.0,3,108,680,0.45,0.45,7
1652,12,0,0,0,0,5.000000000000001,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-39.918846,-18.085447,50,真理大學,資訊管理學系創新服務組,079282,0.0,0.0,0.0,0.0,0.0,24,0.0,3,50,680,0.7,0.2,5
1675,0,0,0,12,0,5.000000000000001,29.999999999999996,29.999999999999996,29.999999999999996,29.999999999999996,-38.46731,-10.966367,50,真理大學,觀光數位知識學系觀光旅遊組,079352,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,480,0.8,0.0,5
1691,0,0,0,12,0,29.999999999999996,29.999999999999996,29.999999999999996,5.000000000000001,29.999999999999996,-27.799335,40.75006,50,真理大學,觀光數位知識學系旅館餐飲組,079362,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,480,0.8,0.0,2
1709,12,0,0,0,0,5.000000000000001,29.999999999999996,29.999999999999996,5.000000000000001,29.999999999999996,-34.534367,30.716593,50,真理大學,宗教文化與資訊管理學系-實務組,079052,0.0,0.0,0.0,0.0,0.0,24,0.0,2,45,480,0.7,0.0,2
1713,12,0,0,0,0,5.000000000000001,29.999999999999996,29.999999999999996,5.000000000000001,29.999999999999996,-34.534134,30.716663,50,真理大學,宗教文化與資訊管理學系,079042,0.0,0.0,0.0,0.0,0.0,24,0.0,2,50,480,0.7,0.0,2
1729,0,0,0,12,0,29.999999999999996,29.999999999999996,29.999999999999996,3.0,29.999999999999996,-29.001978,45.69206,50,真理大學,理財與稅務規劃學系,079232,0.0,0.0,0.0,0.0,0.0,24,0.0,3,75,680,0.6,0.2,2
