,國文檢定_code,英文檢定_code,數學檢定_code,社會檢定_code,自然檢定_code,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,學校名稱_code,學校名稱_encoded,學系名稱_trim,學系代碼,國文採計,英文採計,數學採計,社會採計,自然採計,自設科目組合_code,自設科目組合倍率,unitier,預定甄試人數,甄試費用,口試佔比,書審佔比,cluster
2,50,75,75,0,75,-3.4011973816621555,-0.7781512503836436,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,1,國立臺灣大學,物理治療學系,001282,0.0,0.0,0.0,0.0,0.0,24,0.0,1,60,1500,0.3,0.2,1
38,0,50,0,0,50,-3.4011973816621555,-0.7781512503836436,-3.4011973816621555,-3.4011973816621555,-0.47712125471966244,1,國立臺灣大學,護理學系,001272,0.0,0.0,0.0,0.0,0.0,24,0.0,1,57,1500,0.4,0.1,1
54,88,88,88,0,88,-0.6020599913279624,-0.3010299956639812,-0.3010299956639812,-3.4011973816621555,-0.3010299956639812,1,國立臺灣大學,醫學系(公費生),001232,0.0,0.0,0.0,0.0,0.0,4,3.0,2,24,1500,0.4,0.0,1
89,88,88,88,0,88,-0.6020599913279624,-0.3010299956639812,-0.3010299956639812,-3.4011973816621555,-0.3010299956639812,1,國立臺灣大學,醫學系(希望組辛組),001692,3.0,4.5,4.5,0.0,6.0,4,3.0,2,2,0,0.5,0.0,1
105,50,75,50,0,75,-0.47712125471966244,-0.6020599913279624,-0.47712125471966244,-3.4011973816621555,-0.3979400086720376,1,國立臺灣大學,獸醫學系,001432,5.0,5.0,5.0,0.0,5.0,4,5.0,2,75,1500,0.6,0.0,1
201,75,75,75,0,75,-0.6989700043360189,-0.7781512503836436,-0.47712125471966244,-3.4011973816621555,-0.47712125471966244,1,國立臺灣大學,職能治療學系,001292,0.0,0.0,0.0,0.0,0.0,24,0.0,3,63,1500,0.25,0.25,1
208,88,88,88,0,88,-0.6020599913279624,-0.3010299956639812,-0.3010299956639812,-3.4011973816621555,-0.3010299956639812,1,國立臺灣大學,醫學系,001222,0.0,0.0,0.0,0.0,0.0,4,3.0,3,100,1500,0.4,0.0,1
245,50,50,75,0,75,-3.4011973816621555,-3.4011973816621555,-0.6020599913279624,-3.4011973816621555,-0.6020599913279624,1,國立臺灣大學,藥學系,001252,3.0,3.0,4.5,0.0,4.5,4,3.0,1,60,1500,0.4,0.0,1
286,75,75,75,0,0,-0.7781512503836436,-0.47712125471966244,-0.7781512503836436,-3.4011973816621555,-3.4011973816621555,1,國立臺灣大學,哲學系,001042,0.0,0.0,0.0,0.0,0.0,24,0.0,1,60,1500,0.3,0.0,4
1,88,88,75,88,0,-0.6020599913279624,-0.6020599913279624,-3.4011973816621555,-3.4011973816621555,-3.4011973816621555,1,國立臺灣大學,法律學系法學組,001572,0.0,0.0,0.0,0.0,0.0,24,0.0,1,48,1500,0.6,0.0,7
